# Stage_Name,Target_Num,Target_Type,Distance,Offset,Stop
Five to Go (SC-101),T1,C,30,-10.25,FALSE
Five to Go (SC-101),T2,C,36,-3.42,FALSE
Five to Go (SC-101),T3,C,45,3.42,FALSE
Five to Go (SC-101),T4,C,54,10.25,FALSE
Five to Go (SC-101),T5,B,21,17.08,TRUE
Showdown (SC-102),T1,A,75,-9,FALSE
Showdown (SC-102),T2,C,30,-4,FALSE
Showdown (SC-102),T3,B,36,0,TRUE
Showdown (SC-102),T4,A,75,9,FALSE
Showdown (SC-102),T5,C,30,4,FALSE
Smoke & Hope (SC-103),T1,A,21,-14,FALSE
Smoke & Hope (SC-103),T2,A,27,-9,FALSE
Smoke & Hope (SC-103),T3,B,42,0,TRUE
Smoke & Hope (SC-103),T4,A,27,9,FALSE
Smoke & Hope (SC-103),T5,A,21,14,FALSE
Outer Limits (SC-104),T1,B,60,-12,FALSE
Outer Limits (SC-104),T2,A,105,-6,FALSE
Outer Limits (SC-104),T3,B,54,0,TRUE
Outer Limits (SC-104),T4,A,105,6,FALSE
Outer Limits (SC-104),T5,B,60,12,FALSE
Accelerator (SC-105),T1,C,30,-12,FALSE
Accelerator (SC-105),T2,A,30,-4,FALSE
Accelerator (SC-105),T3,B,45,0,TRUE
Accelerator (SC-105),T4,B,60,6,FALSE
Accelerator (SC-105),T5,A,60,20,FALSE
Pendulum (SC-106),T1,B,54,-12,FALSE
Pendulum (SC-106),T2,C,54,-6,FALSE
Pendulum (SC-106),T3,B,30,0,TRUE
Pendulum (SC-106),T4,C,54,6,FALSE
Pendulum (SC-106),T5,B,54,12,FALSE
Speed Option (SC-107),T1,A,105,-21.5,FALSE
Speed Option (SC-107),T2,B,30,-12,FALSE
Speed Option (SC-107),T3,B,60,-6,FALSE
Speed Option (SC-107),T4,B,24,6.5,FALSE
Speed Option (SC-107),T5,B,45,21,TRUE
Roundabout (SC-108),T1,B,45,-9,FALSE
Roundabout (SC-108),T2,B,21,-2,FALSE
Roundabout (SC-108),T3,B,30,2,TRUE
Roundabout (SC-108),T4,B,45,8,FALSE
Roundabout (SC-108),T5,B,21,8,FALSE
